IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
117.123.31.2,40005,FALSE,ICN,Asia Pacific,Seoul,85 ms,8737 kB/s
125.208.102.111,40006,FALSE,ICN,Asia Pacific,Seoul,83 ms,7057 kB/s
124.80.43.124,13186,FALSE,NRT,Asia Pacific,Tokyo,121 ms,1275 kB/s
13.209.166.73,80,FALSE,ICN,Asia Pacific,Seoul,114 ms,78425 kB/s
13.230.34.30,80,FALSE,NRT,Asia Pacific,Tokyo,81 ms,13216 kB/s
3.68.31.54,80,FALSE,FRA,Europe,Frankfurt,157 ms,9369 kB/s
18.159.105.97,80,FALSE,FRA,Europe,Frankfurt,157 ms,8632 kB/s
18.156.209.101,80,FALSE,FRA,Europe,Frankfurt,179 ms,7469 kB/s
3.66.115.225,80,FALSE,FRA,Europe,Frankfurt,166 ms,6016 kB/s
51.17.192.69,80,FALSE,MXP,Europe,Milan,222 ms,4686 kB/s
52.29.224.33,80,FALSE,FRA,Europe,Frankfurt,165 ms,4020 kB/s
3.6.136.68,80,FALSE,BOM,Asia Pacific,Mumbai,302 ms,2443 kB/s
51.17.192.69,443,FALSE,MXP,Europe,Milan,220 ms,2341 kB/s
52.53.226.228,80,FALSE,SJC,North America,San Jose,180 ms,1824 kB/s
35.86.94.173,80,FALSE,PDX,North America,Portland,222 ms,1645 kB/s
18.185.254.189,80,FALSE,FRA,Europe,Frankfurt,158 ms,918 kB/s
18.179.65.137,8443,FALSE,NRT,Asia Pacific,Tokyo,86 ms,603 kB/s
18.216.55.100,80,FALSE,ORD,North America,Chicago,248 ms,235 kB/s
54.150.195.218,80,FALSE,NRT,Asia Pacific,Tokyo,82 ms,161 kB/s
18.178.250.71,80,FALSE,NRT,Asia Pacific,Tokyo,88 ms,71 kB/s
35.167.93.200,443,FALSE,SEA,North America,Seattle,201 ms,0 kB/s
204.110.223.6,80,FALSE,ORD,North America,Chicago,237 ms,0 kB/s
204.110.223.219,80,FALSE,ORD,North America,Chicago,234 ms,0 kB/s
3.141.95.66,80,FALSE,CMH,North America,Columbus,248 ms,0 kB/s
204.110.221.174,80,FALSE,PDX,North America,Portland,205 ms,0 kB/s
3.101.110.90,80,FALSE,SJC,North America,San Jose,168 ms,0 kB/s
204.110.221.40,80,FALSE,SEA,North America,Seattle,201 ms,0 kB/s
204.110.221.20,80,FALSE,PDX,North America,Portland,201 ms,0 kB/s
204.110.221.48,80,FALSE,PDX,North America,Portland,201 ms,0 kB/s
204.110.221.138,80,FALSE,PDX,North America,Portland,220 ms,0 kB/s
204.110.220.135,80,FALSE,PDX,North America,Portland,223 ms,0 kB/s
204.110.223.199,80,FALSE,CMH,North America,Columbus,219 ms,0 kB/s
140.238.19.2,443,FALSE,ICN,Asia Pacific,Seoul,88 ms,16870 kB/s
150.230.62.27,443,FALSE,KIX,Asia Pacific,Osaka,204 ms,4191 kB/s
130.162.61.18,80,FALSE,FRA,Europe,Frankfurt,290 ms,3414 kB/s
89.168.122.44,80,FALSE,FRA,Europe,Frankfurt,247 ms,1930 kB/s
164.152.34.166,80,FALSE,GRU,South America,S?o Paulo,367 ms,303 kB/s
165.1.76.23,80,FALSE,SJC,North America,San Jose,184 ms,223 kB/s
144.24.200.164,80,FALSE,MRS,Europe,Marseille,347 ms,179 kB/s
152.67.222.250,80,FALSE,ICN,Asia Pacific,Seoul,148 ms,95 kB/s
140.83.57.116,8443,FALSE,KIX,Asia Pacific,Osaka,217 ms,0 kB/s
