IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.209.166.73,80,FALSE,ICN,Asia Pacific,Seoul,211,41850
3.68.31.54,80,FALSE,FRA,Europe,Frankfurt,171,11884
3.66.115.225,80,FALSE,FRA,Europe,Frankfurt,167,10792
18.156.209.101,80,FALSE,FRA,Europe,Frankfurt,177,7594
125.208.102.111,40006,FALSE,ICN,Asia Pacific,Seoul,72,7654
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,88,7839
3.101.110.90,80,TRUE,SJC,North America,San Jose,177,7751
13.53.51.77,8080,TRUE,ARN,Europe,Stockholm,255,7564
204.110.221.112,80,TRUE,SEA,North America,Seattle,195,7098
2.56.255.16,443,TRUE,LAX,North America,Los Angeles,176,9698
20.215.241.164,2053,TRUE,WAW,Europe,Warsaw,435,11.7
20.240.254.247,2053,TRUE,ARN,Europe,Stockholm,281,11.59
4.219.15.140,8443,TRUE,CPH,Europe,Copenhagen,194,11.47
172.179.181.196,443,TRUE,SEA,North America,Seattle,165,11.43
4.219.15.140,2053,TRUE,CPH,Europe,Copenhagen,207,11.35
20.169.80.29,443,TRUE,LAX,North America,Los Angeles,281,11.07
51.145.238.40,8443,TRUE,AMS,Europe,Amsterdam,260,10.96
4.221.60.243,8443,TRUE,JNB,Africa,Johannesburg,274,10.78
20.217.216.51,8443,TRUE,VIE,Europe,Vienna,302,10.73
20.217.216.51,2053,TRUE,VIE,Europe,Vienna,274,10.62
20.33.62.19,2083,TRUE,LHR,Europe,London,400,10.6
168.63.108.160,8443,TRUE,AMS,Europe,Amsterdam,418,10.57
4.231.122.2,443,TRUE,AMS,Europe,Amsterdam,427,10.55
4.221.60.243,2053,TRUE,JNB,Africa,Johannesburg,180,10.51
74.249.233.213,443,TRUE,ORD,North America,Chicago,280,10.01
20.121.115.188,443,TRUE,IAD,North America,Ashburn,472,9.74
48.217.34.120,443,TRUE,IAD,North America,Ashburn,544,9.39
4.255.56.137,443,TRUE,IAD,North America,Ashburn,354,9
4.255.56.138,443,TRUE,IAD,North America,Ashburn,254,8.94
172.214.176.68,2053,TRUE,ORD,North America,Chicago,460,8.82
20.221.32.145,443,TRUE,ORD,North America,Chicago,253,8.81
158.23.81.224,2053,TRUE,DFW,North America,Dallas,253,8.69
4.172.225.98,8443,TRUE,YYZ,North America,Toronto,326,8.5
172.214.176.68,8443,TRUE,ORD,North America,Chicago,318,8.49
20.25.205.37,2053,TRUE,ORD,North America,Chicago,544,8.37
20.151.238.192,8443,TRUE,YYZ,North America,Toronto,468,8.26
40.79.73.114,8443,TRUE,IAD,North America,Ashburn,255,8.25
13.68.186.91,443,TRUE,IAD,North America,Ashburn,241,8.18
20.228.249.211,8443,TRUE,IAD,North America,Ashburn,396,8.12
20.220.29.122,2053,TRUE,YYZ,North America,Toronto,585,8.08
20.220.29.122,8443,TRUE,YYZ,North America,Toronto,389,8.05
